Season,Date,Location,Opponent,Result,IlliniScore,OpponentScore,Note1,Note2,Note3,WinStreak
1993,23-Oct,@,Michigan,W,24,21,,,,0
1993,30-Oct,vs.,Northwestern,W,20,13,,,,0
1993,6-Nov,vs.,Minnesota,W,23,20,,,,0
1993,13-Nov,@,Penn State,L,14,28,,,,0
1993,20-Nov,vs.,Wisconsin,L,10,35,,,,6
1992,5-Sep,vs.,Northern Illinois,W,30,14,,,,0
1992,12-Sep,vs.,Missouri,W,24,17,,,,0
1992,19-Sep,@,Houston,L,13,31,,,,1
1992,3-Oct,@,Minnesota,L,17,18,,,,1
1992,10-Oct,@,Ohio State,W,18,16,,,,4
1992,17-Oct,vs.,Iowa,L,14,24,,,,0
1992,24-Oct,vs.,Northwestern,L,26,27,,,,0
1992,31-Oct,@,Wisconsin,W,13,12,,,,5
1992,7-Nov,vs.,Purdue,W,20,17,,,,4
1992,14-Nov,@,Michigan,T,22,22,,,,0
1992,21-Nov,vs.,Michigan State,W,14,10,,,,0
1992,30-Dec,vs.,Hawaii,L,17,27,@ San Diego, CA,Holiday Bowl,0
1991,31-Aug,vs.,East Carolina,W,38,31,,,,0
1991,14-Sep,@,Missouri,L,19,23,,,,0
1991,21-Sep,vs.,Houston,W,51,10,,,,0
1991,5-Oct,vs.,Minnesota,W,24,3,,,,0
1991,12-Oct,vs.,Ohio State,W,10,7,,,,3
1991,19-Oct,@,Iowa,L,21,24,,,,0
1991,26-Oct,@,Northwestern,L,11,17,,,,3
1991,2-Nov,vs.,Wisconsin,W,22,6,,,,4
1991,9-Nov,@,Purdue,W,41,14,,,,3
1991,16-Nov,vs.,Michigan,L,0,20,,,,0
1991,23-Nov,@,Michigan State,L,24,27,,,,2
1991,31-Dec,vs.,UCLA,L,3,6,@ El Paso, TX,Sun Bowl,0
1990,1-Jan,vs.,Clemson,L,0,30,@ Tampa, FL,Hall of Fame Bowl,0
1990,8-Sep,@,Arizona,L,16,28,,,,0
1990,15-Sep,vs.,Colorado,W,23,22,,,,0
1990,22-Sep,vs.,Southern Illinois,W,56,21,,,,0
1990,6-Oct,@,Ohio State,W,31,20,,,,2
1990,13-Oct,vs.,Purdue,W,34,0,,,,2
1990,20-Oct,vs.,Michigan State,W,15,13,,,,1
1990,27-Oct,@,Wisconsin,W,21,3,,,,3
1990,3-Nov,vs.,Iowa,L,28,54,,,,1
1990,10-Nov,@,Michigan,L,17,22,,,,0
1990,17-Nov,@,Indiana,W,24,10,,,,2
1990,24-Nov,vs.,Northwestern,W,28,23,,,,2
1989,1-Jan,vs.,Virginia,W,31,21,@ Orlando, FL,Citrus Bowl,0
1989,4-Sep,@,Southern California,W,14,13,,,,0
1989,16-Sep,@,Colorado,L,7,38,,,,0
1989,23-Sep,vs.,Utah State,W,41,2,,,,0
1989,7-Oct,vs.,Ohio State,W,34,14,,,,1
1989,14-Oct,@,Purdue,W,14,2,,,,1
1989,21-Oct,@,Michigan State,W,14,10,,,,0
1989,28-Oct,vs.,Wisconsin,W,32,9,,,,2
1989,4-Nov,@,Iowa,W,31,7,,,,0
1989,11-Nov,vs.,Michigan,L,10,24,,,,0
1989,18-Nov,vs.,Indiana,W,41,28,,,,1
1989,25-Nov,@,Northwestern,W,63,14,,,,1
1988,3-Sep,vs.,Washington State,L,7,44,,,,0
1988,10-Sep,@,Arizona State,L,16,21,,,,0
1988,17-Sep,vs.,Utah,W,35,24,,,,0
1988,1-Oct,@,Ohio State,W,31,12,,,,0
1988,8-Oct,vs.,Purdue,W,20,0,,,,0
1988,15-Oct,@,Wisconsin,W,34,6,,,,1
1988,22-Oct,vs.,Michigan State,L,21,28,,,,0
1988,29-Oct,@,Minnesota,T,27,27,,,,1
1988,5-Nov,vs.,Indiana,W,21,20,,,,0
1988,12-Nov,@,Michigan,L,9,38,,,,0
1988,19-Nov,vs.,Northwestern,W,14,9,,,,0
1988,29-Dec,vs.,Florida,L,10,14,@ Birmingham, AL,All-American Bowl,0
1987,5-Sep,@,North Carolina,L,14,34,,,,0
1987,12-Sep,vs.,Arizona State,L,7,21,,,,0
1987,19-Sep,vs.,East Carolina,W,20,10,,,,0
1987,3-Oct,vs.,Ohio State,L,6,10,,,,0
1987,10-Oct,@,Purdue,L,3,9,,,,1
1987,17-Oct,vs.,Wisconsin,W,16,14,,,,0
1987,24-Oct,@,Michigan State,T,14,14,,,,0
1987,31-Oct,vs.,Minnesota,W,27,17,,,,0
1987,7-Nov,@,Indiana,L,22,34,,,,6
1987,14-Nov,vs.,Michigan,L,14,17,,,,0
